code_str3,name,gdp_2018_wb,exp_MTC_usd,imp_MTC_usd,tot_MTC_usd,exp_MTC_per_gdp_pct,imp_MTC_per_gdp_pct,tot_MTC_per_gdp_pct,exp_com_tot_usd,imp_com_tot_usd,tot_com_usd,exp_com_tot_usd_per_gdp_pct,imp_com_tot_usd_per_gdp_pct,tot_com_tot_usd_per_gdp_pct
516,Namibia,13682019171.6627,8709622.877090951,9850298.454658257,14205109.893203732,0.032,0.036,0.068,438018.7321172608,1027570.0841982664,1246579.4502568967,0.002,0.004,0.006
762,Tajikistan,7765000282.29397,1899263.5656761453,8938365.762457728,9887997.545295801,0.012,0.058,0.07,249949.3153602517,682975.6222709455,807950.2799510714,0.002,0.004,0.006
288,Ghana,67298913752.0241,43700815.02564043,21832121.609008994,43682529.12182921,0.032,0.016,0.048,5184517.976338924,2531182.556068796,5123441.544238258,0.004,0.002,0.006
478,Mauritania,7473550557.07378,3829479.710851508,5277368.815274701,7192108.670700455,0.026,0.035,0.061,461466.07313803874,500347.22903515695,731080.2656041763,0.003,0.003,0.006
214,Dominican Republic,85555390385.9812,7142170.833826587,75294618.75598653,78865704.17289981,0.004,0.044,0.048,914903.4374478671,8572389.489760278,9029841.208484212,0.001,0.005,0.006
591,Panama,67294169234.6291,20917201.21013573,35887061.13546188,46345661.740529746,0.016,0.027,0.043,2801459.5697315456,5469789.111611046,6870518.896476818,0.002,0.004,0.006
222,El Salvador,26020850000.0,5614671.932318916,22031752.509292617,24839088.475452077,0.011,0.042,0.053000000000000005,643814.7064687671,2709588.0821965346,3031495.4354309184,0.001,0.005,0.006
032,Argentina,524819898586.906,323581039.0922629,150184248.27040792,311974767.8165394,0.031,0.014,0.045,39756594.55068157,18834065.832945533,38712363.10828632,0.004,0.002,0.006
352,Iceland,26260850582.0687,4410087.875196737,27162810.99033006,29367854.92792843,0.008,0.052,0.06,403975.1000372537,2731424.9806875307,2933412.5307061574,0.001,0.005,0.006
356,India,2702929639861.5,662900604.648913,1675345836.122434,2006796138.4468904,0.012,0.031,0.043,81271666.04572219,204855841.86786115,245491674.89072224,0.002,0.004,0.006
807,North Macedonia,12683068033.1043,3781806.194805388,11560641.136906432,13451544.234309126,0.015,0.046,0.061,383430.0118622673,944515.7740625354,1136230.7799936691,0.002,0.004,0.006
233,Estonia,30624720196.2285,22589096.832273595,14036563.635997895,25331112.052134693,0.037,0.023,0.06,2504588.2975980774,994542.7046352976,2246836.8534343364,0.004,0.002,0.006
144,Sri Lanka,94493871351.4217,12538477.744049411,74203768.08179073,80473006.95381543,0.007,0.039,0.046,1828054.3955669962,8087486.80613498,9001514.003918478,0.001,0.004,0.005
052,Barbados,5097283200.0,3509885.2078266377,5352620.575287697,7107563.179201016,0.034,0.053,0.087,129366.49607721643,453096.19900265656,517779.4470412648,0.001,0.004,0.005
858,Uruguay,65203071110.6037,17062769.25756289,36565814.07802367,45097198.70680512,0.013,0.028,0.041,2193344.755659107,4130675.687558706,5227348.0653882595,0.002,0.003,0.005
860,Uzbekistan,52870108217.5626,15942365.345530022,34857083.35780887,42828266.03057388,0.015,0.033,0.048,1867480.5305075282,2876790.406343792,3810530.671597556,0.002,0.003,0.005
887,Yemen,21606161066.2074,2220585.984117252,31030402.662577733,32140695.65463636,0.005,0.072,0.077,149203.99916067693,2273287.1290878314,2347889.12866817,0.0,0.005,0.005
392,Japan,5040880939324.86,1010181495.4733312,3085756912.371166,3590847660.107832,0.01,0.031,0.041,101586999.7745363,383303170.0493709,434096669.936639,0.001,0.004,0.005
748,Eswatini,4666598023.91856,1976998.942103752,1730338.9995630218,2718838.470614898,0.021,0.019,0.04,259851.96705608052,195536.80442162786,325462.7879496681,0.003,0.002,0.005
180,"Congo, Dem. Rep. of the",47568210020.9338,5177540.374228243,30869252.928550385,33458023.115664504,0.005,0.032,0.037,673859.5263730516,3679490.0712544834,4016419.834441009,0.001,0.004,0.005
191,Croatia,61330483609.8835,64452957.60655067,75648267.70351468,107874746.50679001,0.053,0.062,0.11499999999999999,2289512.4792175037,3567148.3947427995,4711904.6343515515,0.002,0.003,0.005
400,Jordan,43370860704.2254,15655010.973221652,20408293.920974858,28235799.407585684,0.018,0.024,0.041999999999999996,2066732.6281944637,2231461.3695929535,3264827.683690185,0.002,0.003,0.005
705,Slovenia,54177882425.8421,29382628.81475371,28601776.613155425,43293091.02053228,0.027,0.026,0.053,2666379.102516572,3047922.4207170424,4381111.971975328,0.002,0.003,0.005
156,China,13894907485398.9,2465583331.5566406,5913908724.861719,7146700390.640039,0.009,0.021,0.03,371502896.5775527,734197184.481686,919948632.7704623,0.001,0.003,0.004
344,"China, Hong Kong SAR",361731070995.726,25574714.48530398,225935341.85728166,238722699.09993365,0.004,0.031,0.035,3229928.7865175027,28120880.325693786,29735844.718952537,0.0,0.004,0.004
040,Austria,454991174096.094,180343628.5467951,157723381.3631707,247895195.63656825,0.02,0.017,0.037000000000000005,19554155.518173438,15212374.294620693,24989452.053707413,0.002,0.002,0.004
008,Albania,15156424061.9815,10068487.238688817,5403808.416102846,10438052.035447255,0.033,0.018,0.051000000000000004,937440.4446703766,429995.85731037345,898716.0796455618,0.003,0.001,0.004
586,Pakistan,356128167702.894,34321327.70894025,220875578.11903396,238036241.9735041,0.005,0.031,0.036,4116905.231524355,22080588.58147997,24139041.19724215,0.001,0.003,0.004
642,Romania,243316050520.725,81245992.24947307,139074186.18014726,179697182.30488378,0.017,0.029,0.046,7768374.167684553,10720560.087303054,14604747.171145331,0.002,0.002,0.004
422,Lebanon,54901519155.6219,3145322.6769739264,51052834.95317588,52625496.29166284,0.003,0.046,0.049,279801.70594792266,4204271.349609033,4344172.2025829945,0.0,0.004,0.004
048,Bahrain,37802005319.1489,17201268.47127364,28409532.169206493,37010166.404843315,0.023,0.038,0.061,1460118.779804826,1829876.7669586379,2559936.156861051,0.002,0.002,0.004
