gdp_2018_wb,source_iso_code,source_country,vol_kg,val_usd,vol_kg_recon,val_usd_recon,ene_tj_recon,co2_t_recon,bau_usd_23_recon,bau_usd_30_recon,bau_usd_40_recon,bau_usd_50_recon,s24_usd_23_recon,s24_usd_30_recon,s24_usd_40_recon,s24_usd_50_recon,pct_vol_recon,pct_val_recon,s24_usd_23_recon_del,s24_usd_30_recon_del,s24_usd_40_recon_del,s24_usd_50_recon_del,bau_23_pct_gdp,bau_30_pct_gdp,bau_40_pct_gdp,bau_50_pct_gdp,s24_23_pct_gdp,s24_30_pct_gdp,s24_40_pct_gdp,s24_50_pct_gdp,s24_del_23_pct_gdp,s24_del_30_pct_gdp,s24_del_40_pct_gdp,s24_del_50_pct_gdp
138202309918.726,414,Kuwait,51831055399.798,25435844037.106,51831055399.798,25435844037.106,14227.507155304795,1097930.9355005478,725654823.737693,703746703.8093419,636957221.6880428,622299718.837991,725654823.737693,777497317.9560981,959502857.0004948,1015516845.4596121,100.0,100.0,0.0,73750614.14675617,322545635.3124521,393217126.62162113,0.52507,0.50921,0.46089,0.45028,0.52507,0.56258,0.69427,0.7348,0.0,0.05336,0.23339,0.28452
8271106196.04253,417,Kyrgyzstan,292379949.895,111857620.926,292379949.895,111857620.926,40.98225064912364,3157.933837663219,1615453.2514377055,1539831.2681615457,1375710.0926003896,1327302.887873272,1615453.2514377055,1786915.1748858264,2249094.7694262234,2384171.6807932127,100.0,100.0,0.0,247083.90672428068,873384.6768258337,1056868.7929199408,0.01953,0.01862,0.01663,0.01605,0.01953,0.0216,0.02719,0.02883,0.0,0.00299,0.01056,0.01278
18141651381.3884,418,Lao People's Dem. Rep.,991691312.24,643120801.7490001,991691312.24,643120801.7490001,181.5652393078332,14013.06341540018,9065960.781625798,8959904.088065991,7758027.350674594,7573019.140474054,9065960.781625798,10262952.639306204,12323454.855492903,13055398.253099715,100.0,100.0,0.0,1303048.5512402132,4565427.504818309,5482379.112625661,0.04997,0.04939,0.04276,0.04174,0.04997,0.05657,0.06793,0.07196,0.0,0.00718,0.02517,0.03022
54901519155.6219,422,Lebanon,644082892.28,435879523.98,644082892.28,435879523.98,129.03108520126727,9890.70756959679,8345633.008012681,7854022.591781357,7081758.260079223,6979683.401509666,8345633.008012681,8901527.591967907,10803923.871579383,11756372.85143221,100.0,100.0,0.0,1047505.0001865495,3722165.61150016,4776689.449922544,0.0152,0.01431,0.0129,0.01271,0.0152,0.01621,0.01968,0.02141,0.0,0.00191,0.00678,0.0087
2556247155.56945,426,Lesotho,5093024.869,96614260.642,5093024.869,96614260.642,5.7409043322734465,443.71128464503977,190963.00473835735,169994.31573902353,159110.1456171766,150499.59707525565,190963.00473835735,208903.73884775993,290834.7960995523,305843.53331302886,100.0,100.0,0.0,38909.4231087364,131724.6504823757,155343.93623777322,0.00747,0.00665,0.00622,0.00589,0.00747,0.00817,0.01138,0.01196,0.0,0.00152,0.00515,0.00608
34429023435.0205,428,Latvia,7777860989.84,3779867419.825,7777860989.84,3779867419.825,2628.426314158167,199988.2767152342,115584977.47121058,111280187.31194466,100013112.60657811,96081790.69181317,115584977.47121058,125746135.10143779,157197088.56584263,164659572.48469448,100.0,100.0,0.0,14465947.789493129,57183975.95926452,68577781.79288131,0.33572,0.32322,0.29049,0.27907,0.33572,0.36523,0.45658,0.47826,0.0,0.04202,0.16609,0.19919
3422754800.0,430,Liberia,1164252259.596,146252475.21400002,1164252259.596,146252475.21400002,328.5487841308848,25327.32092117922,17139851.485155992,17618717.582541447,14427926.307511797,14098486.602060826,17139851.485155992,20139550.200971358,23034810.121063743,24215292.324890606,100.0,100.0,0.0,2520832.6184299104,8606883.813551946,10116805.72282978,0.50076,0.51475,0.42153,0.4119,0.50076,0.5884,0.67299,0.70748,0.0,0.07365,0.25146,0.29557
76686048499.3527,434,Libya,26373019805.925,12655486216.679,26373019805.925,12655486216.679,5403.084411501729,417905.67827926466,174345369.57281926,163690444.72931346,149479697.24423897,142907762.81066823,174345369.57281926,174710965.63276154,228918406.90822953,241112819.4863431,100.0,100.0,0.0,11020520.903448075,79438709.66399056,98205056.67567486,0.22735,0.21346,0.19492,0.18635,0.22735,0.22783,0.29851,0.31442,0.0,0.01437,0.10359,0.12806
53751411409.4437,440,Lithuania,11934733345.769001,7378369193.851,11934733345.769001,7378369193.851,3423.2802115573077,261244.462950654,155112948.44337252,154210363.43640426,131684755.33641452,127880374.77269936,155112948.44337252,172462474.9978226,204467325.39207792,216417644.39721563,100.0,100.0,0.0,18252111.561418355,72782570.0556634,88537269.62451628,0.28857,0.2869,0.24499,0.23791,0.28857,0.32085,0.38039,0.40263,0.0,0.03396,0.13541,0.16472
71000359760.4599,442,Luxembourg,4877953191.303,5354968886.392,4877953191.303,5354968886.392,671.3872251569602,51211.34201681007,30641711.53130668,29350468.36252188,25949451.716387995,25129532.13709722,30641711.53130668,33219022.494169816,40564275.155996695,43578104.65877813,100.0,100.0,0.0,3868554.131647937,14614823.4396087,18448572.52168091,0.04316,0.04134,0.03655,0.03539,0.04316,0.04679,0.05713,0.06138,0.0,0.00545,0.02058,0.02598
