gdp_2018_wb,dest_iso_code,dest_country,vol_kg,val_usd,vol_kg_recon,val_usd_recon,ene_tj_recon,co2_t_recon,bau_usd_23_recon,bau_usd_30_recon,bau_usd_40_recon,bau_usd_50_recon,s24_usd_23_recon,s24_usd_30_recon,s24_usd_40_recon,s24_usd_50_recon,pct_vol_recon,pct_val_recon,s24_usd_23_recon_del,s24_usd_30_recon_del,s24_usd_40_recon_del,s24_usd_50_recon_del,bau_23_pct_gdp,bau_30_pct_gdp,bau_40_pct_gdp,bau_50_pct_gdp,s24_23_pct_gdp,s24_30_pct_gdp,s24_40_pct_gdp,s24_50_pct_gdp,s24_del_23_pct_gdp,s24_del_30_pct_gdp,s24_del_40_pct_gdp,s24_del_50_pct_gdp
37802005319.1489,048,Bahrain,11374055146.076002,4825441477.359,11374055146.076002,4825441477.359,932.545315489732,72094.800328768,28789112.477616895,27966494.069437385,25389301.214769922,24659962.725006472,28789112.477616895,31111087.492982995,39067278.65385894,41044823.28235898,100.0,100.0,0.0,3144593.42354561,13677977.439089015,16384860.55735251,0.07616,0.07398,0.06716,0.06523,0.07616,0.0823,0.10335,0.10858,0.0,0.00832,0.03618,0.04334
12457940705.3088,051,Armenia,360982908.612,267599698.495,360982908.612,267599698.495,81.8672147922586,6320.598576610159,3325802.156773972,3226254.4856138905,2873697.829145448,2769236.437244009,3325802.156773972,3752835.858350995,4736618.066606045,4987453.627650997,100.0,100.0,0.0,526581.3727371045,1862920.237460597,2218217.1904069874,0.0267,0.0259,0.02307,0.02223,0.0267,0.03012,0.03802,0.04003,0.0,0.00423,0.01495,0.01781
5097283200.0,052,Barbados,861107780.767,523860146.328,861107780.767,523860146.328,230.10391040522143,17592.46445949397,10138795.740245255,9925626.657314433,9026822.961450882,8824108.387452668,10138795.740245255,11105265.29955845,13391550.99381932,14145344.132804055,100.0,100.0,0.0,1179638.6422440168,4364728.032368438,5321235.745351387,0.19891,0.19472,0.17709,0.17311,0.19891,0.21787,0.26272,0.27751,0.0,0.02314,0.08563,0.10439
543299066998.892,056,Belgium,146352431069.623,113150776775.823,146352431069.623,113150776775.823,24514.632964653803,1868220.5138678644,875668735.3954735,839856521.343139,763268903.6748058,741054037.2223643,875668735.3954735,942963254.5442781,1187510764.6337974,1254810442.672419,100.0,100.0,0.0,103106733.20113909,424241860.95899165,513756405.45005476,0.16118,0.15458,0.14049,0.1364,0.16118,0.17356,0.21857,0.23096,0.0,0.01898,0.07809,0.09456
7225977000.0,060,Bermuda,421051129.475,565553247.199,421051129.475,565553247.199,124.97307719605385,9552.991072033357,5642557.108641937,5393536.332313805,5096799.097839061,4966233.611093586,5642557.108641937,6138085.495761731,7579009.376578098,7922707.86460725,100.0,100.0,0.0,744549.1634479258,2482210.278739037,2956474.253513664,0.07809,0.07464,0.07053,0.06873,0.07809,0.08494,0.10489,0.10964,0.0,0.0103,0.03435,0.04091
40287647930.5355,068,Bolivia (Plurinational State of),2635934946.277,3619995440.968,2635934946.277,3619995440.968,2080.1606466560083,161029.59110700877,86236035.21598612,81714211.6947984,77593380.79246716,76679935.30830534,86236035.21598612,95556828.85520612,123554938.20411739,129797582.4475382,100.0,100.0,0.0,13842617.160407722,45961557.411650226,53117647.13923286,0.21405,0.20283,0.1926,0.19033,0.21405,0.23719,0.30668,0.32218,0.0,0.03436,0.11408,0.13185
20484048415.5019,070,Bosnia and Herzegovina,777374369.219,492576916.72900003,777374369.219,492576916.72900003,167.43938935831824,12876.107501004482,8599280.92760351,8120963.689111422,7443934.287352711,7168653.665228549,8599280.92760351,8991283.439477576,11168737.474000959,11747680.021155404,100.0,100.0,0.0,870319.7503661541,3724803.1866482478,4579026.355926855,0.04198,0.03965,0.03634,0.035,0.04198,0.04389,0.05452,0.05735,0.0,0.00425,0.01818,0.02235
17031943186.1353,072,Botswana,2000630249.132,2017045175.934,2000630249.132,2017045175.934,217.7133219232301,16812.6924777919,7788245.447350146,7538724.8963779,6832214.842327618,6665179.460303207,7788245.447350146,8613247.69966539,10850769.34683008,11406588.815458246,100.0,100.0,0.0,1074522.8032874903,4018554.5045024613,4741409.355155039,0.04573,0.04426,0.04011,0.03913,0.04573,0.05057,0.06371,0.06697,0.0,0.00631,0.02359,0.02784
1916933708404.16,076,Brazil,130502589093.526,99270939896.996,130502589093.526,99270939896.996,62219.95360208537,4808285.848478138,2771830967.055205,2738450549.2642126,2353589067.913395,2267746921.9813194,2771830967.055205,3075955894.556687,3711427669.9273667,3900579406.844203,100.0,100.0,0.0,337505345.29247427,1357838602.0139718,1632832484.8628836,0.1446,0.14286,0.12278,0.1183,0.1446,0.16046,0.19361,0.20348,0.0,0.01761,0.07083,0.08518
2315000000.0,084,Belize,523525540.81500006,319571598.471,523525540.81500006,319571598.47099996,200.92773606214487,15302.955277317007,7061562.811822178,6702470.537981472,6461158.514307838,6385142.456748317,7061562.811822178,7869019.027730008,10090017.554591654,10654112.368492905,100.0,100.0,0.0,1166548.4897485357,3628859.040283816,4268969.911744588,0.30504,0.28952,0.2791,0.27582,0.30504,0.33991,0.43585,0.46022,0.0,0.05039,0.15675,0.1844
